"tag","ds_hierarquia_a","ds_hierarquia_b"
w3 - solicitacao - 2 via cartao fraudado,Cartão,Segunda via cartão
wb-cdu,Cartão,Lançamentos duplicados
w3 - solicitacao - cancelar insatisfacao,Cartão,Cancelamento de conta
w3 - duvida - cancelamento de compra,Cartão,Cancelamento de compra no crédito
wb-cf,Cartão,Compensação fatura
w3 - problema - bloqueio judicial saldo conta,Fraude,Conta bloqueada ou desbloqueada
w3 - problema - compensacao fatura diferente,Cartão,Compensação fatura
w3 - duvida - bloqueio por atraso,Cartão,Dúvidas sobre pagamento de fatura
w3 - duvida - status de conta,Fraude,Conta bloqueada ou desbloqueada
w3 - duvida - contratacao fgts,Empréstimos,Dúvidas FGTS
w3 - solicitacao - resgate antecipado de cdb,Conta,Investimento CDB
w3 - solicitacao - cancelar ted,Conta,Envio de TED
w3 - problema - pagamento boleto duplicado,Conta,Pagamento de Boleto
w3 - problema - comunicacao entrega,Cartão,Rastreio de cartão
w3 - problema - seguro conta protegida,Conta,Contratação de seguro
w3 - duvida - nova proposta,Cartão,Resultado da Proposta
w3 - duvida - token sms proposta,Cartão,Token SMS
w3 - duvida - aparelho seguro,Fraude,Validação novo dispositivo
w3 - problema - acareacao,Cartão,Problema no recebimento do cartão
w3 - solicitacao - extrato conta,Conta,Gestão de Extrato
wb-fpi,Fraude,Falsidade ideológica
w3 - duvida - apos solicitar 2 via,Cartão,Rastreio de cartão
wb-rci,Conta,Rendimento Conta
wb-tdo,Conta,Envio de TED
w3 - problema - gift card loja will,Conta,Problemas com Gift Card
wb-rpi,Conta,Recebimento de PIX
w3 - problema - seguro,Conta,Contratação de seguro
w3 - solicitacao - cancelar gift card loja will,Conta,Dúvidas regras do Gift Card
w3 - denuncia - nao cliente golpe compra,Fraude,Denúncia
w3 - duvida - compensacao bancaria,Cartão,Compensação fatura
w3 - problema - nao reconhece pix,Fraude,Não reconhecimento de PIX
w3 - solicitacao - desbloqueio prevencao fraude,Cartão,Desbloqueio de cartão
w3 - problema - nao reconhece compra informacao insuficiente,Fraude,Não reconhecimento de compra no crédito
w3 - solicitacao - cancelar tarifas e encargos,Cartão,Cancelamento de conta
w3 - solicitacao - custodia,Cartão,Reenvio de cartão
w3 - duvida - cliente em fechamento de fatura,Cartão,Dúvidas sobre pagamento de fatura
w3 - solicitacao - alterar endereco,Fraude,Alteração de Cadastro
wb-cad,Cartão,Cartão
w3 - duvida - compensacao fatura diferente,Cartão,Compensação fatura
